"label","@id","map","@type","skos:sameas","skos:sameas","skos:closematch"
"brick (type)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1081","getty","ceramic class","http://vocab.getty.edu/aat/300010463",,
"jar (class)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1082","getty","ceramic class","http://vocab.getty.edu/aat/300195347",,
"5th-7th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1083","periodo","ceramic_date","http://n2t.net/ark:/99152/p0b6j5mtpfd",,
"9th-11th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1084","periodo","ceramic_date"," http://n2t.net/ark:/99152/p0b6j5mq3ms",,
"12th-13th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1085",,"ceramic_date",,,
"2nd-3rd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1086",,"ceramic_date",,,
"roman (ceramic date)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1087","periodo","ceramic_date"," http://n2t.net/ark:/99152/p0b6j5mh84m",,
"hellenistic (ceramic date)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1088","periodo","ceramic_date"," http://n2t.net/ark:/99152/p0b6j5mgvqt",,
"hellenistic_roman","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1089",,"ceramic_date",,,
"7_5 yr 3_3","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/109",,"munsell colour",,,
"3rd-4th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1090",,"ceramic_date",,,
"5th-6th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1091",,"ceramic_date",,,
"4th-6th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1092",,"ceramic_date",,,
"2nd-4th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1093",,"ceramic_date",,,
"13th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1094",,"ceramic_date",,,
"1st c. bc-2nd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1095",,"ceramic_date",,,
"4th-5th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1096",,"ceramic_date",,,
"1st-2nd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1097",,"ceramic_date",,,
"6th-middle of the 7th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1098",,"ceramic_date",,,
"6th-7th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1099",,"ceramic_date",,,
"dumping","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/11",,"formation type",,,
"5yr 7_1","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/110",,"munsell colour",,,
"7th-9th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1100",,"ceramic_date",,,
"9th-10th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1101",,"ceramic_date",,,
"9th-13th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1102",,"ceramic_date",,,
"12th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1103",,"ceramic_date",,,
"late 10th-11th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1104",,"ceramic_date",,,
"5th-first quarter 7th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1105",,"ceramic_date",,,
"2nd-1st c. bc","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1106",,"ceramic_date",,,
"2nd c. bc","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1107",,"ceramic_date",,,
"11th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1108",,"ceramic_date",,,
"10th or 13th c. ad?","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1109",,"ceramic_date",,,
"7_5 yr 4_4","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/111",,"munsell colour",,,
"9th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1110",,"ceramic_date",,,
"1st c. bc -2nd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1111",,"ceramic_date",,,
"3rd-5th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1112",,"ceramic_date",,,
"8th-10th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1113",,"ceramic_date",,,
"1st-3rd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1114",,"ceramic_date",,,
"second half of 6th-first half of 7th c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1115",,"ceramic_date",,,
"early medieval","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1116",,"ceramic_date",,,
