ark_type,ark_id,ark_label,common_name,cleaned_alignment,ncbi_reconciliation,ncbi_urls,ncbi_id,eol_uri,notes
faunal_species,415,Domestic Cattle,Domestic cow,Bos taurus,Bos taurus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9913,9913,https://eol.org/pages/328699,NCBI links to Bos primigenius
faunal_species,416,Domestic Sheep,Domestic sheep,Ovis aries,Ovis aries,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9940,9940,https://eol.org/pages/311906,Not linked from NCBI
faunal_species,417,Domestic Goat,Domestic goat,Capra hircus,Capra hircus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9925,9925,https://eol.org/pages/328660,Dead link in NCBI
faunal_species,418,Domestic Sheep/Goat,Domestic sheep or goat,Caprinae,Caprinae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9963,9963,https://eol.org/pages/52230844,Not linked from NCBI
faunal_species,419,Domestic Pig,Domestic pig,Sus domestica,Sus domestica,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9825,9825,https://eol.org/pages/4445644,Dead link in NCBI
faunal_species,420,Horse,Domestic horse,Equus caballus,Equus caballus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9796,9796,https://eol.org/pages/328648,
faunal_species,421,Red Deer,Red deer,Cervus elaphus,Cervus elaphus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9860,9860,https://eol.org/pages/328649,
faunal_species,422,Dog,Domestic dog,Canis lupus familiaris,Canis lupus familiaris,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9615,9615,https://eol.org/pages/1228387,Not linked from NCBI; oddly titled Beagle in EOL
faunal_species,423,Aurochs?,Aurochs,Bos primigenius,Bos primigenius,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9909,9909,https://eol.org/pages/10408207,uncertain; not linked from NCBI; not main entry in EOL
faunal_species,424,Human,Human,Homo sapiens,Homo sapiens,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606,9606,https://eol.org/pages/327955,
faunal_species,425,Mussels,Mussel,Mytilidae,Mytilidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6547,6547,https://eol.org/pages/46466613,Dead link in NCBI
faunal_species,426,Oyster,Oyster,Ostreidae,Ostreidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6563,6563,https://eol.org/pages/46467106,Dead link in NCBI; apparently the same as https://eol.org/pages/46467104
faunal_species,427,Scallop,Scallop,Pectinidae,Pectinidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6566,6566,https://eol.org/pages/46467677,Dead link in NCBI; apparently the same as https://eol.org/pages/46467675
faunal_species,428,Bird,Unidentified bird,Aves sp.,Aves,,,https://eol.org/pages/695,Not linked from NCBI
faunal_species,429,Fish,Unidentified fish,Pisces sp.,Pisces,,,https://eol.org/pages/46557929,Aligned with Gnathostomata to include both bony and cartilaginous fish
faunal_species,430,Crab,Crab family,Brachyura,Brachyura,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6752,6752,https://eol.org/pages/46505748,Not linked from NCBI
faunal_species,431,Unidentifiable,Unidentified mammal,Unidentified animal remains,Mammalia,,,https://eol.org/pages/1642,Assuming these are mammal remains since general fish and general birds listed separately
faunal_species,432,Brown Hare,Brown or common hare,Lepus europaeus,Lepus europaeus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9983,9983,https://eol.org/pages/118009,
faunal_species,433,Wild Boar,Wild boar,Sus scrofa,Sus scrofa,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9823,9823,https://eol.org/pages/328663,
faunal_species,434,Dolphin,Dolphin family,Delphinus,Delphinus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9727,9727,https://eol.org/pages/46559239,Dead link in NCBI
faunal_species,435,Sturgeon-type,Sturgeon family,Acipenseridae,Acipenseridae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7900,7900,https://eol.org/pages/8302,
faunal_species,436,Cyprinoid,Carp family,Cyprinidae,Cyprinidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7953,7953,https://eol.org/pages/3198,
faunal_species,437,Domestic Cat,Domestic cat,Felis catus,Felis catus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9685,9685,https://eol.org/pages/1037781,Not linked from NCBI
